typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
5.0,Wertstoffinsel,Zur Großen Loh Wunstorf / Idensen - Mehrzweckhalle,"Zur Großen Loh , Wunstorf / Idensen",52.398281112603,9.3551171592848,True,False,True,"https://www.google.com/maps?q=52.398281112603,9.3551171592848"
5.0,Wertstoffinsel,Brinkstraße Wunstorf / Idensermoor - Ecke Im Busche,"Brinkstraße , Wunstorf / Idensermoor",52.391573975795,9.3522124660058,True,False,False,"https://www.google.com/maps?q=52.391573975795,9.3522124660058"
5.0,Wertstoffinsel,Schulstr. ggü. Grundschule Wunstorf / Klein Heidorn - Parkplatz,"Schulstr. ggü. Grundschule , Wunstorf / Klein Heidorn",52.445714865167,9.4181766411746,True,False,True,"https://www.google.com/maps?q=52.445714865167,9.4181766411746"
5.0,Wertstoffinsel,Ewipper Weg Wunstorf / Kolenfeld - Ecke Mühlenweg,"Ewipper Weg , Wunstorf / Kolenfeld",52.394031612745,9.4540753010353,True,False,True,"https://www.google.com/maps?q=52.394031612745,9.4540753010353"
5.0,Wertstoffinsel,Kirchdamm 13 Wunstorf / Kolenfeld - Parkplatz Grundschule,"Kirchdamm 13 , Wunstorf / Kolenfeld",52.385868019119,9.451802233121,True,False,True,"https://www.google.com/maps?q=52.385868019119,9.451802233121"
5.0,Wertstoffinsel,Kastanienallee Wunstorf / Liethe - Ecke Liether Schweiz ggü. Hausnr. 15,"Kastanienallee , Wunstorf / Liethe",52.449460000578,9.4533796586767,True,False,True,"https://www.google.com/maps?q=52.449460000578,9.4533796586767"
5.0,Wertstoffinsel,Adolf-Oesterheld-Str. Wunstorf / Luthe - Ecke Ahornstr. Kleintierpraxis,"Adolf-Oesterheld-Str. , Wunstorf / Luthe",52.424769476341,9.4679943332994,True,False,True,"https://www.google.com/maps?q=52.424769476341,9.4679943332994"
5.0,Wertstoffinsel,Am Lehmstich 23 Wunstorf / Luthe - Nähe Am Lehmgraben,"Am Lehmstich 23 , Wunstorf / Luthe",52.429017319219,9.4691571043735,True,False,True,"https://www.google.com/maps?q=52.429017319219,9.4691571043735"
5.0,Wertstoffinsel,An Der Tongrube Wunstorf / Luthe - Ecke Buchfinkenweg,"An Der Tongrube , Wunstorf / Luthe",52.42471161706,9.477964546806,True,False,False,"https://www.google.com/maps?q=52.42471161706,9.477964546806"
5.0,Wertstoffinsel,Sahlenkamp Wunstorf / Luthe - Bauhof,"Sahlenkamp , Wunstorf / Luthe",52.414456399175,9.4544467817345,True,False,True,"https://www.google.com/maps?q=52.414456399175,9.4544467817345"
5.0,Wertstoffinsel,Sportplatzstr. Wunstorf / Mesmerode - Parkplatz,"Sportplatzstr. , Wunstorf / Mesmerode",52.413099157907,9.3574709175834,True,False,True,"https://www.google.com/maps?q=52.413099157907,9.3574709175834"
5.0,Wertstoffinsel,Bleichenstr. Wunstorf / Steinhude - Ecke Pickertsberg,"Bleichenstr. , Wunstorf / Steinhude",52.461966029128,9.3763384206193,True,False,True,"https://www.google.com/maps?q=52.461966029128,9.3763384206193"
5.0,Wertstoffinsel,Hohenfelder Str. 15a Wunstorf / Steinhude - Höhe Autohändler,"Hohenfelder Str. 15a , Wunstorf / Steinhude",52.453133396984,9.3719661535956,True,False,True,"https://www.google.com/maps?q=52.453133396984,9.3719661535956"
5.0,Wertstoffinsel,Masurenplatz 8 Wunstorf / Steinhude - am Spielplatz,"Masurenplatz 8 , Wunstorf / Steinhude",52.460557863105,9.3752961446814,True,False,True,"https://www.google.com/maps?q=52.460557863105,9.3752961446814"
5.0,Wertstoffinsel,Meerstraße 10 Wunstorf / Steinhude - Ecke Bruchdamm Sporthalle Steinhude,"Meerstraße 10 , Wunstorf / Steinhude",52.450729423162,9.3525811648154,True,False,True,"https://www.google.com/maps?q=52.450729423162,9.3525811648154"
5.0,Wertstoffinsel,Zum Pageskampe Wunstorf / Steinhude - ggü Hausnr. 30 Ecke Sölterweg,"Zum Pageskampe , Wunstorf / Steinhude",52.450474595224,9.3595833544696,True,False,True,"https://www.google.com/maps?q=52.450474595224,9.3595833544696"
5.0,Wertstoffinsel,Amtsstr. Wunstorf / Wunstorf - Ecke Schlobbenriede Parkplatz,"Amtsstr. , Wunstorf / Wunstorf",52.423664709998,9.4248503147221,True,False,False,"https://www.google.com/maps?q=52.423664709998,9.4248503147221"
5.0,Wertstoffinsel,Düendorfer Weg Wunstorf / Wunstorf - ggü. Hausnummer 59,"Düendorfer Weg , Wunstorf / Wunstorf",52.41704875998,9.4245808771618,True,False,False,"https://www.google.com/maps?q=52.41704875998,9.4245808771618"
5.0,Wertstoffinsel,Hagenburger Str. 20 Wunstorf / Wunstorf - Parkplatz Marktkauf,"Hagenburger Str. 20 , Wunstorf / Wunstorf",52.430451666743,9.4200324751905,True,False,False,"https://www.google.com/maps?q=52.430451666743,9.4200324751905"
5.0,Wertstoffinsel,König-Ludwig-Str. Wunstorf / Wunstorf - Höhe Spielplatz,"König-Ludwig-Str. , Wunstorf / Wunstorf",52.418482774219,9.4453421940413,True,False,False,"https://www.google.com/maps?q=52.418482774219,9.4453421940413"
5.0,Wertstoffinsel,Nordrehr Wendehammer Wunstorf / Wunstorf - Grabmale Krapf,"Nordrehr Wendehammer , Wunstorf / Wunstorf",52.430100163294,9.425309306107,True,False,True,"https://www.google.com/maps?q=52.430100163294,9.425309306107"
5.0,Wertstoffinsel,Rembrandtstr. Wunstorf / Wunstorf - Ecke Barnestraße,"Rembrandtstr. , Wunstorf / Wunstorf",52.416703210936,9.430635419154,True,False,True,"https://www.google.com/maps?q=52.416703210936,9.430635419154"
5.0,Wertstoffinsel,Senator-Meier-Str. Wunstorf / Wunstorf - Ecke Klein Heidorner Str. Friedhof,"Senator-Meier-Str. , Wunstorf / Wunstorf",52.435283079201,9.4240647461969,True,False,True,"https://www.google.com/maps?q=52.435283079201,9.4240647461969"
5.0,Wertstoffinsel,Senator-Meier-Str. Ecke Astern Wunstorf / Wunstorf - Spielplatz,"Senator-Meier-Str. Ecke Astern , Wunstorf / Wunstorf",52.437486114706,9.4314117053471,True,False,True,"https://www.google.com/maps?q=52.437486114706,9.4314117053471"
1.0,Wertstoffhöfe,Döhrbruch 8 30559 Hannover,"Döhrbruch 8, 30559 Hannover",52.35302529265699,9.823802777724918,,,,"https://www.google.com/maps?q=52.35302529265699,9.823802777724918"
,NA,"Immelmannstr. 17, 30419 Ledeburg","Immelmannstr. 17, 30419 Ledeburg",52.41314583572483,9.678545542862214,,,,"https://www.google.com/maps?q=52.41314583572483,9.678545542862214"
